45,2,0.5263,524,312,558,339
45,2,0.2989,802,405,849,440
45,2,0.2829,802,405,826,433
46,2,0.6123,460,364,505,398
46,2,0.5564,796,395,878,439
46,2,0.4233,521,312,556,342
46,2,0.3244,715,299,740,315
47,2,0.5982,793,391,865,433
47,2,0.5790,521,317,553,343
47,2,0.5686,457,365,507,401
47,2,0.2906,715,299,739,314
47,2,0.2552,591,278,610,295
48,2,0.6304,518,317,551,345
48,2,0.6277,450,368,498,406
48,2,0.5747,790,388,842,425
48,2,0.2628,603,293,626,311
49,2,0.7044,514,319,549,347
49,2,0.6965,446,373,495,410
49,2,0.4877,787,386,842,422
49,2,0.4067,785,385,859,425
49,2,0.3068,713,293,737,310
50,2,0.7404,510,320,546,348
50,2,0.7058,782,378,845,414
50,2,0.6087,438,377,490,416
51,2,0.7150,509,319,547,349
51,2,0.5866,780,376,845,412
51,2,0.4970,433,380,487,418
52,2,0.7563,508,320,542,352
52,2,0.5986,777,373,840,406
52,2,0.5253,776,373,824,404
52,2,0.4704,426,386,480,427
53,2,0.7877,506,322,542,353
53,2,0.7138,421,388,476,431
53,2,0.4447,774,371,821,402
53,2,0.3376,771,368,835,404
54,2,0.6479,411,393,471,439
54,2,0.6054,503,323,540,355
54,2,0.5874,768,366,822,396
55,2,0.7072,502,323,538,358
55,2,0.6273,406,395,467,443
55,2,0.5201,769,359,816,394
56,2,0.6690,395,402,458,452
56,2,0.6613,496,323,535,359
56,2,0.4725,766,358,808,388
56,2,0.3101,764,357,818,390
56,2,0.2874,589,292,612,320
57,2,0.6427,389,406,456,459
57,2,0.6321,495,323,534,360
57,2,0.5197,764,357,807,385
57,2,0.3067,589,292,614,321
57,2,0.2654,612,272,638,299
58,2,0.7311,376,413,446,467
58,2,0.6013,762,353,808,382
58,2,0.5260,492,324,532,365
58,2,0.3028,612,274,637,301
59,2,0.7348,369,418,442,473
59,2,0.5944,757,350,807,381
59,2,0.5541,489,326,530,366
60,2,0.7361,352,425,431,487
60,2,0.6440,755,345,803,375
60,2,0.5822,486,329,526,369
61,2,0.7512,348,430,427,491
61,2,0.7283,753,344,801,375
61,2,0.6621,481,332,525,371
62,2,0.7658,754,343,797,370
62,2,0.7259,328,439,414,505
62,2,0.6674,478,334,522,375
63,2,0.7755,753,342,795,368
63,2,0.6824,320,446,407,515
63,2,0.6658,475,336,519,377
64,2,0.6936,299,457,394,535
64,2,0.6882,750,340,788,363
64,2,0.5157,472,335,515,379
64,2,0.3128,583,306,610,332
65,2,0.6971,289,464,387,542
65,2,0.6467,749,338,788,361
65,2,0.5400,469,335,514,381
65,2,0.3192,582,306,611,334
66,2,0.7523,261,480,373,565
66,2,0.6345,744,337,787,359
66,2,0.6091,463,341,509,386
67,2,0.8372,251,486,364,573
67,2,0.5921,743,334,785,359
67,2,0.5197,459,344,506,388
68,2,0.8534,220,505,346,600
68,2,0.6156,455,348,503,393
68,2,0.4756,741,331,779,355
68,2,0.3018,577,309,608,339
68,2,0.2797,573,289,596,317
69,2,0.8631,203,515,335,612
69,2,0.6478,450,350,500,393
69,2,0.5991,741,329,778,352
69,2,0.2501,602,285,629,306
70,2,0.8474,164,536,313,642
70,2,0.6483,445,353,498,400
70,2,0.6135,740,327,772,348
70,2,0.3185,603,287,627,307
71,2,0.8449,143,548,300,664
71,2,0.6541,442,354,495,402
71,2,0.6269,738,326,771,348
71,2,0.3817,602,287,628,307
72,2,0.8645,94,573,271,710
72,2,0.6513,738,323,768,343
72,2,0.5408,435,356,492,408
72,2,0.3811,602,287,627,308
73,2,0.8459,65,572,256,716
73,2,0.6792,737,322,766,342
73,2,0.6386,432,356,488,409
73,2,0.4113,601,287,627,311
74,2,0.6630,10,625,224,719
